Predicted,Actual
1.1523,1.163
0.7749,0.766
1.5306,1.504
0.6574,0.672
4.939109,5.00001
1.7561999999999998,1.629
1.7011999999999996,1.722
2.3872,2.091
3.596401,3.318
1.2715999999999998,1.542
3.2911,3.331
2.1927,2.227
3.5480999999999994,3.14
1.5069000000000001,1.125
1.2537999999999996,1.293
0.8481,0.892
3.0148,3.073
3.4945009999999996,3.275
1.0583,0.965
1.6846000000000003,1.705
0.7361,0.745
2.0594,2.21
1.2804000000000002,1.271
1.4942999999999995,1.575
0.454,0.269
2.0542000000000002,2.17
2.4361000000000006,2.64
3.4350010000000006,3.3
1.8579999999999999,1.852
3.4362000000000004,4.161
0.9267999999999998,1.271
2.1675,1.875
1.0285,1.062
1.6015000000000001,1.545
3.474100000000001,3.551
2.2209000000000003,2.173
4.995609,5.00001
1.1725999999999996,1.126
1.1728999999999998,1.286
2.3480999999999996,2.074
1.0705000000000002,1.102
2.4123,2.541
2.3674999999999997,1.644
1.1103,1.051
5.000009999999993,5.00001
1.2715999999999998,1.254
1.5138000000000003,1.438
2.7508999999999997,2.717
0.9969000000000001,0.425
1.7651,1.825
4.785208,5.00001
1.4807000000000003,1.457
1.1072,0.933
2.967,2.649
1.1532,1.188
1.1933,1.056
2.8899,3.019
4.0548,4.063
1.8962999999999997,1.779
0.8658999999999999,0.879
1.2570000000000001,1.194
0.7331,0.702
1.5798000000000003,1.441
1.1132000000000002,1.019
2.8447,3.0
2.6,2.25
0.5063,0.427
2.2558,2.238
1.4217,0.83
3.950501,4.0
1.0126000000000002,0.931
1.6838000000000002,1.698
2.4067,2.458
0.8589999999999998,0.901
4.189107,5.00001
1.2218999999999998,1.113
1.2637,1.447
1.482,1.5
2.837,3.0
2.2155,2.577
1.9154000000000004,1.736
1.3002,1.25
1.7864999999999998,1.567
2.034,2.037
1.6062,1.57
1.7059000000000002,1.662
2.8013000000000003,2.798
1.2454,1.391
1.5499,1.506
0.8460999999999999,0.869
1.8198,1.938
1.2942,1.346
0.5863999999999999,0.571
4.866107999999997,5.00001
3.8695999999999997,3.804
1.7659000000000002,1.816
2.3968,2.383
1.4081000000000001,1.625
3.0492,3.107
1.8677,1.952
1.8854,1.868
2.6717,2.642
0.8367999999999999,0.816
2.5072,2.862
1.1211999999999998,1.139
1.9399000000000002,1.978
0.5446000000000001,0.551
0.6927,0.63
4.339506,5.00001
1.7035,1.604
3.347,3.162
2.3043,2.293
1.4590999999999998,1.464
3.2359,3.951
1.3224000000000002,1.118
0.9499000000000002,0.919
1.9415000000000002,2.0
0.9742999999999998,0.992
2.5120999999999998,2.468
3.018,3.343
0.9485999999999999,0.722
1.8803999999999998,2.174
1.5905,1.613
1.2492999999999996,1.136
4.817308,5.00001
1.6524999999999999,1.596
2.825,2.621
1.5,1.477
1.351,1.271
2.7675009999999998,2.694
1.1839000000000002,1.015
2.0639000000000003,1.916
4.652206,5.00001
2.8815999999999997,2.68
3.0907999999999998,3.394
1.1971,1.309
1.4293009999999997,0.889
2.3932,2.362
2.7394000000000003,2.588
2.3121,2.345
